Wall time,Step,Value
1559000568.532199,5517,1.0
1559000569.4823701,5549,1.0
1559000570.551641,5573,1.0
1559000570.9818618,5587,1.0
1559000572.643351,5630,1.0
1559000573.823661,5658,1.0
1559000573.894315,5660,1.0
1559000574.0132759,5664,1.0
1559000574.4496498,5679,1.0
1559000576.0578408,5720,1.0
1559000576.1449459,5723,1.0
1559000578.1349041,5776,1.0
1559000579.320858,5807,1.0
1559000579.350841,5808,1.0
1559000580.016108,5825,1.0
1559000580.105661,5828,1.0
1559000581.38395,5862,1.0
1559000581.442053,5864,1.0
1559000581.6495318,5871,1.0
1559000583.076787,5907,1.0
1559000583.687498,5928,1.0
1559000584.784062,5952,1.0
1559000584.931562,5957,1.0
1559000585.1082492,5963,1.0
1559000585.924302,5990,1.0
1559000586.9358048,6010,1.0
1559000587.08576,6015,1.0
1559000587.537025,6030,1.0
1559000587.687475,6035,1.0
1559000589.3896189,6078,1.0
1559000590.514414,6103,1.0
1559000590.572316,6105,1.0
1559000591.0427341,6121,1.0
1559000591.341162,6131,1.0
1559000593.159648,6181,1.0
1559000593.739742,6200,1.0
1559000594.533683,6213,1.0
1559000594.71632,6219,1.0
1559000595.116759,6232,1.0
1559000597.239792,6289,1.0
1559000598.1611829,6312,1.0
1559000598.460429,6317,1.0
1559000599.1889799,6341,1.0
1559000599.76876,6352,1.0
1559000600.103364,6363,1.0
1559000600.646674,6376,1.0
1559000601.384757,6400,1.0
1559000605.265215,6495,1.0
1559000605.297238,6496,1.0
1559000605.424685,6500,1.0
1559000606.3280919,6520,1.0
1559000608.471167,6574,1.0
1559000608.9264069,6584,1.0
1559000609.746488,6603,1.0
1559000611.780304,6657,1.0
1559000612.059446,6666,1.0
1559000612.24684,6672,1.0
1559000612.427331,6678,1.0
1559000612.52309,6681,1.0
1559000612.892423,6688,1.0
1559000613.138061,6696,1.0
1559000613.229835,6699,1.0
1559000613.843174,6711,1.0
1559000614.81195,6738,1.0
1559000614.9311528,6742,1.0
1559000615.5031638,6753,1.0
1559000618.230104,6832,1.0
1559000618.641353,6846,1.0
1559000619.286967,6854,1.0
1559000619.7394402,6869,1.0
1559000622.015091,6934,1.0
1559000623.333955,6963,1.0
1559000623.427798,6966,1.0
1559000624.217385,6992,1.0
1559000625.2676532,7014,1.0
1559000627.94811,7091,1.0
1559000628.664259,7106,1.0
1559000628.912267,7114,1.0
1559000629.7599812,7137,1.0
1559000630.554871,7155,1.0
1559000631.919101,7195,1.0
1559000632.805856,7216,1.0
1559000633.9165592,7247,1.0
1559000635.9077601,7300,1.0
1559000636.472613,7311,1.0
1559000637.005307,7329,1.0
1559000637.453881,7339,1.0
1559000637.482743,7340,1.0
1559000638.294037,7359,1.0
1559000638.988607,7382,1.0
1559000639.9668632,7401,1.0
1559000641.149963,7440,1.0
1559000641.397076,7443,1.0
1559000641.607502,7450,1.0
1559000642.162307,7460,1.0
1559000642.252481,7463,1.0
1559000642.705837,7478,1.0
1559000644.106017,7511,1.0
1559000644.6964679,7530,1.0
1559000647.760702,7609,1.0
1559000648.788882,7644,1.0
1559000649.694643,7661,1.0
1559000650.1665258,7676,1.0
1559000650.499271,7687,1.0
1559000650.679533,7693,1.0
1559000651.837447,7718,1.0
1559000651.990608,7723,1.0
1559000652.141498,7728,1.0
1559000652.711699,7746,1.0
1559000653.293029,7757,1.0
1559000653.382595,7760,1.0
1559000654.120873,7780,1.0
1559000654.354978,7788,1.0
1559000654.645739,7798,1.0
1559000656.0942311,7833,1.0
1559000656.239003,7838,1.0
1559000658.4757051,7899,1.0
1559000658.505578,7900,1.0
1559000659.874389,7932,1.0
1559000661.681458,7983,1.0
1559000662.063377,7991,1.0
1559000663.375412,8026,1.0
1559000663.708982,8037,1.0
1559000664.21763,8049,1.0
1559000664.965465,8066,1.0
1559000667.1399941,8126,1.0
1559000669.1806872,8180,1.0
1559000669.300747,8184,1.0
1559000669.723331,8198,1.0
1559000670.5219898,8215,1.0
1559000670.7045,8221,1.0
1559000672.3914251,8263,1.0
1559000672.872608,8279,1.0
1559000673.209295,8290,1.0
1559000673.97178,8307,1.0
1559000674.709874,8327,1.0
