Wall time,Step,Value
1558952074.334822,10905,1.0
1558952076.621058,10939,1.0
1558952076.878397,10943,1.0
1558952078.860977,10966,1.0
1558952079.245734,10972,1.0
1558952079.3710551,10974,1.0
1558952082.5363169,11014,1.0
1558952082.9219468,11020,1.0
1558952083.04816,11022,1.0
1558952083.87761,11033,1.0
1558952084.196037,11038,1.0
1558952085.55264,11052,1.0
1558952086.153103,11061,1.0
1558952087.177703,11077,1.0
1558952089.354957,11102,1.0
1558952090.68674,11121,1.0
1558952091.261117,11130,1.0
1558952092.528715,11148,1.0
1558952094.830188,11175,1.0
1558952096.312886,11198,1.0
1558952096.556294,11200,1.0
1558952097.092299,11201,1.0
1558952101.727923,11260,1.0
1558952101.927296,11263,1.0
1558952102.52212,11272,1.0
1558952105.5283442,11310,1.0
1558952109.4876292,11361,1.0
1558952113.3951502,11411,1.0
1558952113.9069319,11419,1.0
1558952116.77364,11455,1.0
1558952117.919307,11472,1.0
1558952119.2172182,11492,1.0
1558952121.75546,11520,1.0
1558952121.946929,11523,1.0
1558952122.393261,11530,1.0
1558952122.521811,11532,1.0
1558952123.613894,11549,1.0
1558952124.67101,11557,1.0
1558952125.257704,11566,1.0
1558952126.334283,11581,1.0
1558952127.358387,11597,1.0
1558952130.50278,11636,1.0
1558952131.309237,11648,1.0
1558952132.7354062,11660,1.0
1558952133.48644,11671,1.0
1558952134.55894,11685,1.0
1558952134.692128,11687,1.0
1558952137.7093818,11723,1.0
1558952140.8066182,11759,1.0
1558952142.611893,11786,1.0
1558952144.3038,11801,1.0
1558952146.5470378,11831,1.0
1558952148.9623601,11855,1.0
1558952150.3194602,11873,1.0
1558952153.322853,11906,1.0
1558952155.171377,11933,1.0
1558952156.1482,11946,1.0
1558952156.278712,11948,1.0
1558952156.345748,11949,1.0
1558952158.2857852,11969,1.0
1558952158.610188,11974,1.0
1558952159.684295,11988,1.0
1558952160.422325,11998,1.0
1558952161.248142,12003,1.0
1558952161.812875,12010,1.0
1558952163.111192,12029,1.0
1558952164.039286,12041,1.0
1558952167.006012,12076,1.0
1558952171.9255638,12138,1.0
1558952173.578399,12153,1.0
1558952174.443212,12164,1.0
1558952174.7067,12168,1.0
1558952175.77054,12184,1.0
1558952178.7960079,12217,1.0
1558952179.425992,12226,1.0
1558952183.0264242,12270,1.0
1558952184.32579,12290,1.0
1558952184.533343,12293,1.0
1558952186.173138,12309,1.0
1558952187.30294,12325,1.0
1558952192.681321,12396,1.0
1558952193.7209752,12405,1.0
1558952195.8085399,12436,1.0
1558952197.5674481,12455,1.0
1558952197.761958,12458,1.0
1558952199.193271,12480,1.0
1558952204.1719308,12545,1.0
1558952205.164547,12553,1.0
1558952206.5986292,12574,1.0
1558952208.122575,12596,1.0
1558952210.490415,12625,1.0
1558952214.002815,12671,1.0
1558952215.90595,12699,1.0
1558952220.877474,12758,1.0
1558952221.8812742,12774,1.0
1558952224.482878,12805,1.0
1558952226.459163,12834,1.0
1558952228.6737401,12859,1.0
1558952229.0957818,12864,1.0
1558952229.940397,12877,1.0
1558952230.7714298,12890,1.0
1558952231.272598,12896,1.0
1558952234.527571,12938,1.0
1558952234.594522,12939,1.0
1558952236.502054,12959,1.0
1558952240.8338308,13017,1.0
1558952242.041483,13034,1.0
1558952244.3498838,13061,1.0
1558952244.41252,13062,1.0
1558952244.9179132,13070,1.0
1558952245.681261,13082,1.0
1558952246.567023,13094,1.0
1558952248.094174,13109,1.0
1558952248.359858,13113,1.0
1558952249.44533,13130,1.0
1558952250.69434,13148,1.0
1558952252.465193,13166,1.0
1558952253.425565,13181,1.0
1558952254.06898,13191,1.0
1558952254.382853,13194,1.0
1558952255.595069,13206,1.0
1558952255.659882,13207,1.0
1558952255.915165,13211,1.0
1558952257.825072,13239,1.0
1558952260.074003,13265,1.0
1558952262.289526,13298,1.0
1558952263.7053912,13313,1.0
1558952266.126086,13349,1.0
1558952270.6315038,13402,1.0
1558952270.8826082,13406,1.0
1558952272.29318,13426,1.0
1558952276.0956259,13475,1.0
1558952278.533696,13504,1.0
1558952281.366153,13546,1.0
1558952285.373239,13597,1.0
1558952286.790742,13612,1.0
1558952287.3056471,13620,1.0
1558952287.68786,13626,1.0
1558952291.5749362,13676,1.0
1558952291.763734,13679,1.0
1558952291.960381,13682,1.0
1558952292.911753,13695,1.0
1558952295.210651,13722,1.0
1558952296.9012768,13747,1.0
1558952297.805421,13754,1.0
1558952299.3390348,13776,1.0
1558952300.810412,13797,1.0
1558952302.090482,13810,1.0
1558952304.450919,13845,1.0
1558952306.523504,13868,1.0
1558952306.716767,13871,1.0
1558952307.672003,13884,1.0
1558952307.928768,13888,1.0
1558952311.656023,13937,1.0
1558952311.720823,13938,1.0
1558952313.51362,13957,1.0
1558952313.7042391,13960,1.0
1558952314.2848341,13969,1.0
